State,Population 2020
Alabama,10048558
Alaska,1466782
Arizona,14303004
Arkansas,6023048
California,79076446
Colorado,11547428
Connecticut,7211888
Delaware,1979896
District of Columbia,1379090
Florida,43076374
Georgia,21423816
Hawaii,2910542
Idaho,3678212
Illinois,25625016
Indiana,13571056
Iowa,6380738
Kansas,5875760
Kentucky,9011672
Louisiana,9315514
Maine,2724718
Maryland,12354448
Massachusetts,14059834
Michigan,20154662
Minnesota,11412988
Mississippi,5922558
Missouri,12309826
Montana,2168450
Nebraska,3923008
Nevada,6209228
New Hampshire,2755058
New Jersey,18577988
New Mexico,4235044
New York,40402498
North Carolina,20878776
North Dakota,1558188
Ohio,23598896
Oklahoma,7918706
Oregon,8474512
Pennsylvania,26005400
Rhode Island,2194758
South Carolina,10236850
South Dakota,1773334
Tennessee,13821680
Texas,58291010
Utah,6543232
Vermont,1286154
Virginia,17262786
Washington,15410562
West Virginia,3587432
Wisconsin,11787436
Wyoming,1153702
